# Κείμενο μενού του Master Looter στα Ελληνικά.
# Αυτή είναι αυτόματη μετάφραση από το Claude, ένα AI της Anthropic, και δεν
# την έχει ελέγξει ακόμα κανένας φυσικός ομιλητής. Διορθώσεις είναι ευπρόσδεκτες
# στο GitHub (github.com/shin2344234/master-looter) ή στη σελίδα του mod στο Nexus.
#
# Μία γραμμή ανά κείμενο: το αγγλικό πρωτότυπο, μια στηλοθέτηση (tab) και μετά
# η μετάφραση. Γραμμές που ξεκινούν με # αγνοούνται. Το \n μέσα σε ένα κείμενο
# σημαίνει αλλαγή γραμμής. Μια γραμμή χωρίς μετάφραση μετά τη στηλοθέτηση
# εμφανίζεται στα αγγλικά, οπότε ένα μισοτελειωμένο αρχείο λειτουργεί κανονικά.
# Κάθε %d, %s, %.1f και τα λοιπά πρέπει να διατηρηθούν ακριβώς όπως είναι και
# με την ίδια σειρά: αντικαθίστανται με αριθμούς και ονόματα κατά την εκτέλεση,
# και μια γραμμή που τα αλλάζει αγνοείται αντί να ρισκάρει λάθος τιμές.
#
# Αποθήκευσέ το ως MasterLooter.el.txt δίπλα στο plugin ώστε να αντικαταστήσει
# το ενσωματωμένο αντίγραφο, και όρισε Language=el στο MasterLooter.ini ή
# πληκτρολόγησε τη γλώσσα στο General, Language.

  bag full	  τσάντα γεμάτη
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Ένας κουβάς πηγαδιού και παρόμοια αντικείμενα δεν μπαίνουν ποτέ σε λουτ, αλλά η όπλισή του κάνει το παιχνίδι να προσφέρει την αλληλεπίδρασή του ώστε να το χρησιμοποιήσεις με το χέρι.
Abyss and Kuku	Abyss και Kuku
Abyss gear, Kuku pots and their parts.	Εξοπλισμός Abyss, δοχεία Kuku και τα μέρη τους.
Accessories	Αξεσουάρ
allowed	επιτρέπεται
already in your bag	ήδη στην τσάντα σου
always	πάντα
always beats the class rule; never beats always	το πάντα νικά τον κανόνα κατηγορίας· το ποτέ νικά το πάντα
Ammunition	Πυρομαχικά
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Οτιδήποτε έχει ετικέτα αποστολής, σε κάθε κατηγορία. Ανενεργό κρατάει τα αντικείμενα ιστορίας και τα κομμάτια γρίφων για τα δικά σου χέρια.
Arm mechanism containers too	Όπλισε και τους μηχανισμούς-δοχεία
Arm nodes ourselves	Αυτόματη όπλιση κόμβων
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Η όπλιση αγνοεί τους τοίχους. Κράτησέ την μικρή, αλλιώς θα συλλέγεις μέσα από τον τοίχο του διπλανού δωματίου. Το μετάλλευμα αποτελεί εξαίρεση και οπλίζεται πάντα μέχρι και 25 μ., γιατί μια φλέβα χρειάζεται δευτερόλεπτα για να απαντήσει, και αν τη ρωτήσεις μόνο όταν είσαι από πάνω της ανοίγει πολύ αργά για να χρησιμεύσει.
Arming range	Εμβέλεια όπλισης
Auto-loot enabled	Αυτόματο λουτ ενεργό
Auto-loot on / off	Αυτόματο λουτ ενεργό / ανενεργό
Backups	Αντίγραφα ασφαλείας
blank for English	κενό για αγγλικά
Books and papers	Βιβλία και χαρτιά
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Ανταμοιβές αφεντικών, αρχαία αντικείμενα, αντικείμενα μνήμης, πουγκιά νομισμάτων και κιβώτια ανταμοιβής.
Break veins open rather than emptying them	Σπάσε τις φλέβες αντί να τις αδειάσεις
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Το σπάσιμο οδηγεί την ίδια τη μηχανή κατάστασης του παιχνιδιού στη φλέβα, το χτύπημα και μετά το σπάσιμο, οπότε ο κόμβος χύνει το περιεχόμενό του στο έδαφος και εξαφανίζεται ακριβώς όπως και με μια αξίνα. Το άδειασμα αντίθετα βγάζει το μετάλλευμα κατευθείαν και παρακάμπτει εντελώς την πτώση. Καμία από τις δύο μεθόδους δεν πληρώνει το Mining Yield Up του εργαλείου σου, που το παιχνίδι το χορηγεί μόνο σε χτύπημα που θεωρεί δικό σου, οπότε όρισε το επιπλέον παρακάτω για να καλύψεις τη διαφορά. Κάθε φλέβα χτυπιέται μία φορά και μετά μένει ανέγγιχτη μέχρι το παιχνίδι να την αναδημιουργήσει.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Πεταλούδες, σκαθάρια, λιβελλούλες, μέλισσες, αράχνες, σκορπιοί, σαλιγκάρια και τα υπόλοιπα μικρά πλάσματα που το παιχνίδι καταχωρεί ως έντομα. Τα είδη προέρχονται από τον πίνακα πλασμάτων· ένα πλάσμα που ο πίνακας δεν μπορεί να ονομάσει πιάνεται μόνο όταν είναι ενεργές όλες οι κατηγορίες στις οποίες θα μπορούσε να ανήκει (κάτι που πετάει μπορεί να είναι ψάρι, έντομο ή πουλί).
captured	πιάστηκε
Carcasses	Κουφάρια
Carcasses and bodies	Κουφάρια και πτώματα
Bodies	Πτώματα
carcasses off	κουφάρια ανενεργά
bodies off	πτώματα ανενεργά
Catching	Πιάσιμο
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Πλάσματα που πιάνονται, ζωντανά ή πεσμένα τριγύρω· ένα πλάσμα που ο πίνακας μπορεί να ονομάσει ακολουθεί τον κανόνα κατηγορίας του. Τα καβούρια, οι γαρίδες και τα καλαμάρια είναι θαλασσινά κάτω από το Φαγητό και ποτό.
Class	Κατηγορία
class %s	κατηγορία %s
Classes	Κατηγορίες
Clear	Καθαρισμός
Clear overrides	Καθαρισμός παρακάμψεων
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Καθαρίζει ό,τι υπολόγισε αυτή η συνεδρία από την τσάντα σου. Οι κόμβοι που ονομάζονται από τον πίνακα prefab δεν επηρεάζονται.
Close	Κλείσιμο
container (off)	δοχείο (ανενεργό)
Containers	Δοχεία
containers off	δοχεία ανενεργά
Controller	Χειριστήριο
Copper	Χαλκός
Copy	Αντιγραφή
Copy path	Αντιγραφή διαδρομής
Copy to the clipboard.	Αντιγραφή στο πρόχειρο.
corpse	πτώμα
corpse already searched	το πτώμα έχει ήδη ερευνηθεί
corpse: loot drops separately	πτώμα: το λουτ πέφτει ξεχωριστά
creature	πλάσμα
Creatures	Πλάσματα
Crops	Καλλιέργειες
crops off	καλλιέργειες ανενεργές
Damaged gear	Φθαρμένος εξοπλισμός
Dead zone around you	Νεκρή ζώνη γύρω σου
Decision	Απόφαση
default	προεπιλογή
DirectX 12 hooks	Hooks DirectX 12
does not respond	δεν ανταποκρίνεται
Draw water from wells	Άντλησε νερό από πηγάδια
Engine	Μηχανή
English	Αγγλικά
English. %d line(s) seen this session.	Αγγλικά. %d γραμμή(ές) εμφανίστηκαν σε αυτή τη συνεδρία.
entity	οντότητα
entity %08X	οντότητα %08X
entity %08X, %d items across every store	οντότητα %08X, %d αντικείμενα σε όλες τις αποθήκες
entity %08X, bag %d of %d slots, %d items across every store	οντότητα %08X, τσάντα %d από %d θέσεις, %d αντικείμενα σε όλες τις αποθήκες
Event descriptors	Περιγραφείς συμβάντων
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Κάθε πέτρα: κομμάτια μεταλλεύματος και πέτρας στο έδαφος, φλέβες, ογκόλιθοι, σωροί από μπάζα και πέτρα λατομείου. Μια φλέβα σπάει εκεί που στέκεται και το περιεχόμενό της μαζεύεται από το έδαφος, ακριβώς ό,τι κάνει η αξίνα σου και αυτό που κάνει μια καλύτερη αξίνα να αξίζει: το μπόνους απόδοσης εξόρυξης του εργαλείου ισχύει για ό,τι πέφτει, όχι για τον κόμβο. Κάθε φλέβα χτυπιέται μία φορά και μετά αφήνεται ήσυχη μέχρι το παιχνίδι να την επαναφέρει. Η προσέγγιση των φλεβών ξεκινά τόσο μακριά όσο βλέπει η σάρωση, επειδή αυτές χρειάζονται δευτερόλεπτα για να απαντήσουν εκεί που ένας θάμνος χρειάζεται κλάσμα του δευτερολέπτου.\n\nΗ πέτρα είχε κάποτε δικό της διακόπτη και ο διαχωρισμός δεν κράτησε ποτέ: το παιχνίδι κατατάσσει την περισσότερη πέτρα λατομείου στην εξόρυξη, οπότε το κλείσιμο της Πέτρας την άφηνε να έρχεται έτσι κι αλλιώς. Για να κρατήσεις το μετάλλευμα και να αφήσεις την πέτρα, απόρριψε την κατηγορία stone στην καρτέλα Κατηγορίες. Αυτό καλύπτει Πέτρα, Εκλεκτή Πέτρα, Άψογη Πέτρα και Σταλακτίτη, και κάθε βράχος για τον οποίο το παιχνίδι λέει ότι δεν περιέχει τίποτε άλλο μένει τότε στη θέση του, μαζί με τους βράχους ορυχείου και τους σταλακτίτες. Μια φλέβα που περιέχει επίσης μετάλλευμα ή πολύτιμο λίθο σπάει και πάλι, γιατί το να απορρίψεις την πέτρα δεν είναι να απορρίψεις ό,τι βρίσκεται δίπλα της. Εκεί που το παιχνίδι δεν περιγράφει καθόλου έναν κόμβο, χρειάζεται να έχουν απορριφθεί και το μετάλλευμα και οι πολύτιμοι λίθοι και η πέτρα πριν προσπεραστεί αυτός.
Extra ore per vein	Επιπλέον μετάλλευμα ανά φλέβα
failed	απέτυχε
fast-travel artifact	αντικείμενο γρήγορης μετακίνησης
filter classes	φιλτράρισμα κατηγοριών
filter tags	φιλτράρισμα ετικετών
Filters	Φίλτρα
Fish	Ψάρια
fish off	ψάρια ανενεργά
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Ψάρια, και ό,τι άλλο πιάνεις μέσα στο νερό: καβούρια, γαρίδες, καλαμάρια, αστερίες και ιππόκαμποι.
Food and drink	Φαγητό και ποτό
Forget	Ξέχνα το
found	βρέθηκε
Furniture	Έπιπλα
Furniture and decor	Έπιπλα και διακόσμηση
furniture node (off)	κόμβος επίπλου (ανενεργός)
furniture off	έπιπλα ανενεργά
Game functions	Λειτουργίες παιχνιδιού
Game functions did not resolve; see Status.	Οι λειτουργίες παιχνιδιού δεν εντοπίστηκαν· δες την Κατάσταση.
Game-thread pump	Άντληση του game thread
gather node	κόμβος συλλογής
Gathering	Συλλογή
General	Γενικά
Ground items	Αντικείμενα στο έδαφος
Groups	Ομάδες
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Κόμβοι βοτάνων, λουλουδιών και μανιταριών, και τα ίδια πεσμένα στο έδαφος, μαζί με τους σπόρους. Οι καλλιέργειες τροφίμων έχουν δικό τους διακόπτη. Για να κρατήσεις τα βότανα και να αφήσεις τους σπόρους, ή το αντίστροφο, απόρριψε την κατηγορία στην καρτέλα Κατηγορίες: το herb και το seed είναι ξεχωριστά εκεί. Αυτό ξεχωρίζει ένα προς ένα ό,τι βρίσκεται στο έδαφος, και φτάνει και στον κόμβο όπου το παιχνίδι λέει τι περιέχει ο κόμβος: απόρριψε το herb και ένα μπάλωμα με βότανα μένει ανέγγιχτο. Οι κόμβοι φυτών είναι ανάμεικτο πλήθος και δίνουν επίσης σιτηρά και υλικά κατασκευής, και για όσους το παιχνίδι δεν περιγράφει, αυτός ο διακόπτης είναι ο μόνος έλεγχος.
hold two buttons (Escape cancels)	κράτα πατημένα δύο πλήκτρα (το Escape ακυρώνει)
Household clutter and collectibles, most of it worthless.	Οικιακά μπιχλιμπίδια και συλλεκτικά, τα περισσότερα άχρηστα.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Το πόσο γεμάτη είναι η τσάντα διαβάζεται από την ίδια την τσάντα, οπότε η ειδοποίηση εμφανίζεται τη στιγμή που γεμίζει, είτε κάνεις λουτ είτε όχι. Αν αυτοί οι αριθμοί σταματήσουν κάποτε να βγάζουν νόημα, το mod καταφεύγει στο να παρακολουθεί τι συμβαίνει μετά από κάθε μάζεμα: τρία στη σειρά που δεν πιάνουν τίποτα ενεργοποιούν την ειδοποίηση, και ένα που πετυχαίνει την καθαρίζει.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Πόσο συχνά διαβάζεται η σκηνή. Η σάρωση τρέχει στο δικό της thread· μόνο το τελικό αποτέλεσμα κοστίζει στο παιχνίδι ένα κλάσμα του χιλιοστού του δευτερολέπτου.
incomplete	ημιτελές
Insects	Έντομα
insects off	έντομα ανενεργά
installed	εγκατεστημένο
Item	Αντικείμενο
Item database	Βάση δεδομένων αντικειμένων
Item table	Πίνακας αντικειμένων
Items	Αντικείμενα
Items lying in the world, including drops from enemies.	Αντικείμενα πεσμένα στον κόσμο, μαζί με αυτά που ρίχνουν οι εχθροί.
Items no shop will buy, across every class.	Αντικείμενα που κανένα μαγαζί δεν αγοράζει, σε κάθε κατηγορία.
Items on the ground	Αντικείμενα στο έδαφος
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Τα αντικείμενα με ετικέτα αποστολής αφήνονται ήσυχα, ώστε τα αντικείμενα γρίφων και ιστορίας να μην παίρνονται αυτόματα. Διαβάζει τις δικές του ετικέτες του αντικειμένου, οπότε καλύπτει ό,τι μαζεύεις και κάθε κόμβο του οποίου το περιεχόμενο μπορεί να ονομάσει το mod. Δύο πράγματα μένουν έξω. Έναν κόμβο που δεν μπορεί να ονομάσει τον αποφασίζει ο διακόπτης του είδους του, γιατί εκεί δεν υπάρχει αντικείμενο από το οποίο να διαβαστεί ετικέτα. Και το γδάρσιμο ενός κουφαριού πληρώνει χωρίς το mod να δει ποτέ τι έφτασε.
Items with an unknown value are never filtered by it.	Αντικείμενα με άγνωστη αξία δεν φιλτράρονται ποτέ από αυτό.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Κράτα το μενού στην οθόνη ενώ παίζεις. Το %s το επαναφέρει, το %s το κλείνει.
Keys	Πλήκτρα
Keys and tools	Κλειδιά και εργαλεία
Language	Γλώσσα
Language \"%s\": %d line(s) translated, %d seen this session.	Γλώσσα \"%s\": %d γραμμή(ές) μεταφρασμένες, %d εμφανίστηκαν σε αυτή τη συνεδρία.
learned from the game	μαθεύτηκε από το παιχνίδι
Load	Φόρτωση
loaded	φορτώθηκε
locked	κλειδωμένο
Log	Αρχείο καταγραφής
Log: %ls	Αρχείο καταγραφής: %ls
Loot	Λουτ
Loot all	Λεηλάτησε όλα
Loot engine	Μηχανή λουτ
Loot engine not started.	Η μηχανή λουτ δεν έχει ξεκινήσει.
Loot everything in range now	Λεηλάτησε τα πάντα εντός εμβέλειας τώρα
Loot everything in range once	Λεηλάτησε τα πάντα εντός εμβέλειας μία φορά
loot: %s	λουτ: %s
Looting	Λουτ
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s για έκδοση παιχνιδιού %s
Materials	Υλικά
mechanism part	μέρος μηχανισμού
Memory chips and puzzle parts	Τσιπ μνήμης και κομμάτια γρίφων
Mine ore veins for you	Εξόρυξε φλέβες μεταλλεύματος για σένα
Minimum value (copper)	Ελάχιστη αξία (χαλκός)
missing	λείπει
missing MasterLooter.items.tsv	λείπει το MasterLooter.items.tsv
mission object	αντικείμενο αποστολής
Mounts and vehicles	Ζώα ιππασίας και οχήματα
name a new preset	όνομα νέας προεπιλογής
Nearby	Κοντά
never	ποτέ
no	όχι
no interaction node	κόμβος χωρίς αλληλεπίδραση
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Κόμβοι που ο πίνακας prefab δεν ονομάζει και δεν έχουν αποδώσει τίποτα ακόμα σε αυτή τη συνεδρία. Ανενεργό (η προεπιλογή) τους αφήνει ανέγγιχτους. Ενεργό κάνει το mod να τους συλλέγει για να μάθει, πράγμα που σημαίνει ότι ένα φυτό μπορεί να παρθεί ενώ τα Φυτά είναι ανενεργά.
none	κανένα
not found yet	δεν βρέθηκε ακόμα
not in item database	δεν είναι στη βάση δεδομένων αντικειμένων
not ready (node empty)	μη έτοιμο (ο κόμβος είναι άδειος)
not resolved yet	δεν έχει εντοπιστεί ακόμα
not started	δεν έχει ξεκινήσει
not yet	όχι ακόμα
Nothing else is drawn while the menu is closed.	Τίποτα άλλο δεν σχεδιάζεται ενώ το μενού είναι κλειστό.
nothing taken yet this session	δεν έχει παρθεί τίποτα ακόμα σε αυτή τη συνεδρία
Object	Αντικείμενο
object	αντικείμενο
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Τα αντικείμενα εμφανίζονται με το πιο κοντινό πρώτο, μαζί με τον κανόνα που αποφάσισε για το καθένα. Οι άδειοι κόμβοι εμφανίζονται ως μη έτοιμοι μέχρι το παιχνίδι ή η όπλιση να τους γεμίσει. Ό,τι φοράς και κουβαλάς μένει εκτός.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Αντικείμενα πιο κοντινά από αυτό αντιμετωπίζονται ως δικός σου εξοπλισμός. Ένα δίχτυ ασφαλείας· ο εξοπλισμός σου αναγνωρίζεται και με άλλους τρόπους.
Objects per burst press	Αντικείμενα ανά πάτημα ριπής
Objects per scan	Αντικείμενα ανά σάρωση
on the player	πάνω στον παίκτη
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Ενεργό, μια φλέβα συλλέγεται εκεί που στέκεται και δεν χτυπάς ποτέ με αξίνα. Ανενεργό, οι φλέβες μένουν ανέγγιχτες και μαζεύονται μόνο τα κομμάτια που σπας. Χρειάζεται όπλιση, αφού το να ζητήσεις από τη φλέβα να ανοίξει είναι όλο το κόλπο.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Ενεργό, η επικάλυψη σχεδιάζεται κάτω από τη δημιουργία καρέ του DLSS, κάτι που απαιτεί το mod να δώσει στο παιχνίδι ένα τυλιγμένο swapchain.\n\nΑνενεργό, η επικάλυψη σχεδιάζεται μέσω του present hook αντ' αυτού. Όλα φαίνονται ίδια εκτός αν η δημιουργία καρέ είναι ενεργή, και το mod μένει μακριά από ένα μονοπάτι που μπαλώνουν και άλλα mods επικάλυψης. Δοκίμασέ το αν το παιχνίδι δεν ξεκινάει μαζί με άλλο mod επικάλυψης· μπορεί να οριστεί ως WrapSwapChain στο MasterLooter.ini χωρίς να ανοίξεις το παιχνίδι.
One backup is written each time the game starts and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Ένα αντίγραφο ασφαλείας γράφεται κάθε φορά που ξεκινάει το παιχνίδι και κρατιούνται τα τελευταία δώδεκα, στο MasterLooter.backups δίπλα στο plugin. Οι προεπιλογές βρίσκονται στο MasterLooter.presets. Αντέγραψε όποιον από τους δύο φακέλους θες για να τον κρατήσεις μετά από επανεγκατάσταση.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Ένα κλικ ανά οικογένεια. Ο παρακάτω πίνακας εξακολουθεί να ορίζει μεμονωμένες κατηγορίες· μια ομάδα δείχνει παύλα όταν μόνο μέρος της είναι ενεργό.
Open and close this menu	Άνοιγμα και κλείσιμο αυτού του μενού
Open folder	Άνοιγμα φακέλου
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Ανοίγει τον φάκελο στον Explorer. Το αρχείο καταγραφής ξαναγράφεται σε κάθε εκκίνηση και είναι αυτό που πρέπει να επισυνάψεις σε μια αναφορά.
Ore and stone	Μετάλλευμα και πέτρα
ore off	μετάλλευμα ανενεργό
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Μετάλλευμα, πετράδια, πέτρα, ξυλεία, δέρματα, βότανα, εμπορεύματα και άλλα υλικά κατασκευής.
out of range	εκτός εμβέλειας
Overlay	Επικάλυψη
Override	Παράκαμψη
owned by someone (theft)	ανήκει σε κάποιον (κλοπή)
Ownership	Ιδιοκτησία
Ownership oracle	Μαντείο ιδιοκτησίας
Pace	Ρυθμός
part of a creature or a mechanism	μέρος πλάσματος ή μηχανισμού
paused: %s	σε παύση: %s
pick up off	μάζεμα ανενεργό
Plants	Φυτά
plants off	φυτά ανενεργά
Player	Παίκτης
Player equipment.	Εξοπλισμός παίκτη.
Player not found in the scene yet.	Ο παίκτης δεν έχει βρεθεί ακόμα στη σκηνή.
Presets	Προεπιλογές
press a key (Escape cancels)	πάτησε ένα πλήκτρο (το Escape ακυρώνει)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Προστατευμένο εξ ορισμού: ένα τσιπ μνήμης ξεκινάει μια σκηνή μνήμης όταν παρθεί, και ένα κομμάτι γρίφου χαλάει τον γρίφο του. Ενεργοποίησέ το μόνο αν θέλεις να παίρνονται αυτόματα.
protected item name	όνομα προστατευμένου αντικειμένου
