# Master Looter-menyns text på svenska.
# Maskinöversatt av Claude, en AI från Anthropic. Ingen som talar
# svenska som modersmål har granskat den här filen än. Rättelser tas
# gärna emot på GitHub (github.com/shin2344234/master-looter) eller på
# moddens Nexus-sida.
#
# En rad per text: originalet på engelska, ett tabbtecken, sedan
# översättningen. Rader som börjar med # ignoreras. \n betyder ett
# radbyte i texten. En rad utan översättning efter tabbtecknet visas
# på engelska. Behåll alla %d, %s, %.1f och liknande exakt som de
# står och i samma ordning: de fylls i med siffror och namn när
# spelet körs.
#
# En fil med det här namnet bredvid MasterLooter.asi ersätter den
# inbyggda kopian.

  bag full	  väska full
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Varje sten: malm- och stenbitar på marken, ådror, stenblock, grushögar och brytsten. En åder bryts där den står och innehållet plockas upp från marken, precis det din hacka gör och det som gör en bättre hacka värd att bära: verktygets bonus för brytningsutbyte gäller det som faller, inte noden. Varje åder slås en gång och lämnas sedan i fred tills spelet tar tillbaka den. Räckvidden för ådror börjar så långt ut som avsökningen ser, eftersom de tar sekunder att svara där en buske tar en bråkdel.\n\nSten hade en gång en egen inställning och uppdelningen höll aldrig: spelet för det mesta av brytstenen under gruvdrift, så att stänga av Sten lät den komma in ändå. För att behålla malmen och lämna stenen, neka klassen stone på fliken Klasser. Det täcker Sten, Fin sten, Felfri sten och Stalaktit, och varje klippa som spelet säger inte innehåller något annat får då stå kvar, gruvstenarna och stalaktiterna inräknade. En åder som också innehåller malm eller en ädelsten bryts fortfarande, för att neka stenen är inte att neka det som ligger bredvid. Där spelet inte beskriver en nod alls krävs att malm, ädelstenar och sten alla är nekade innan just den hoppas över.
Extra ore per vein	Extra malm per åder
failed	misslyckad
fast-travel artifact	snabbreseartefakt
filter classes	filtrera klasser
filter tags	filtrera taggar
Filters	Filter
Fish	Fisk
fish off	fisk av
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Fisk, och allt annat du fångar i vattnet: krabbor, räkor, bläckfisk, sjöstjärnor och sjöhästar.
Food and drink	Mat och dryck
Forget	Glöm
found	hittad
Furniture	Möbler
Furniture and decor	Möbler och dekor
furniture node (off)	möbelnod (av)
furniture off	möbler av
Game functions	Spelfunktioner
Game functions did not resolve; see Status.	Spelfunktionerna slogs inte upp; se Status.
Game-thread pump	Speltrådspump
gather node	skördenod
Gathering	Skörd
General	Allmänt
Ground items	Föremål på marken
Groups	Grupper
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Örter-, blom- och svampnoder, och samma sak liggande på marken, frön inräknade. Matgrödor har en egen inställning. För att behålla örterna och lämna fröna, eller tvärtom, neka klassen på fliken Klasser: herb och seed står åtskilda där. Det sorterar föremål för föremål vad som ligger på marken, och det når även noden överallt där spelet säger vad noden innehåller: neka herb och en örtplätt lämnas i fred. Växtnoder är en blandad skara och ger även spannmål och hantverksmaterial, och för dem spelet inte beskriver är den här inställningen den enda kontrollen.
hold two buttons (Escape cancels)	håll in två knappar (Escape avbryter)
Household clutter and collectibles, most of it worthless.	Hushållsskräp och samlarföremål, mestadels värdelöst.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Hur full väskan är läses från väskan själv, så meddelandet dyker upp i samma stund den blir full, oavsett om du lootar eller inte. Om de siffrorna någon gång slutar stämma faller modden tillbaka på att bevaka vad som händer efter en upplockning: tre i rad som inte ger något visar meddelandet, och en som lyckas tar bort det.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Hur ofta scenen läses av. Skanningen körs på en egen tråd; bara det sista steget kostar spelet en bråkdel av en millisekund.
incomplete	ofullständig
Insects	Insekter
insects off	insekter av
installed	installerad
Item	Föremål
Item database	Föremålsdatabas
Item table	Föremålstabell
Items	Föremål
Items lying in the world, including drops from enemies.	Föremål som ligger i världen, inklusive det som fiender tappar.
Items no shop will buy, across every class.	Föremål som ingen butik köper, oavsett klass.
Items on the ground	Föremål på marken
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Föremål märkta uppdrag lämnas i fred, så att pussel- och berättelseföremål inte tas automatiskt. Den läser föremålets egna etiketter, så den täcker allt du plockar upp och varje nod vars innehåll modden kan namnge. Två saker faller utanför. En nod den inte kan namnge avgörs av inställningen för dess sort, för där finns inget föremål att läsa en etikett från. Och att flå ett kadaver betalar ut utan att modden någonsin ser vad som kom in.
Items with an unknown value are never filtered by it.	Föremål med okänt värde filtreras aldrig av det.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Håll menyn kvar på skärmen medan du spelar. %s tar tillbaka den, %s stänger den.
Keys	Tangenter
Keys and tools	Nycklar och verktyg
Language	Språk
Language \"%s\": %d line(s) translated, %d seen this session.	Språk \"%s\": %d rad(er) översatta, %d sedda denna session.
learned from the game	inlärt från spelet
Load	Läs in
loaded	inläst
locked	låst
Log	Logg
Log: %ls	Logg: %ls
Loot	Loota
Loot all	Loota allt
Loot engine	Lootmotor
Loot engine not started.	Lootmotorn är inte startad.
Loot everything in range now	Loota allt inom räckhåll nu
Loot everything in range once	Loota allt inom räckhåll en gång
loot: %s	loota: %s
Looting	Loot
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s för spelbygge %s
Materials	Material
mechanism part	mekanismdel
Memory chips and puzzle parts	Minneschips och pusseldelar
Mine ore veins for you	Bryter malmådror åt dig
Minimum value (copper)	Minsta värde (koppar)
missing	saknas
missing MasterLooter.items.tsv	MasterLooter.items.tsv saknas
mission object	uppdragsobjekt
Mounts and vehicles	Riddjur och fordon
name a new preset	namnge en ny förinställning
Nearby	I närheten
never	aldrig
no	nej
no interaction node	ingen interaktionsnod
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Noder som prefab-tabellen inte namnger och som inte gett något ännu denna session. Av (standard) lämnar dem orörda. På gör att modden skördar dem för att ta reda på vad de är, vilket innebär att en växt kan tas även om Växter är av.
none	ingen
not found yet	inte hittad än
not in item database	inte i föremålsdatabasen
not ready (node empty)	inte redo (noden tom)
not resolved yet	inte uppslagen än
not started	inte startad
not yet	inte än
Nothing else is drawn while the menu is closed.	Inget annat ritas medan menyn är stängd.
nothing taken yet this session	inget taget än denna session
Object	Objekt
object	objekt
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Objekt listas närmast först, tillsammans med regeln som avgjorde vart och ett. Tomma noder visas som inte redo tills spelet eller triggningen fyller dem. Det du bär eller har på dig utelämnas.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Objekt närmare än så här behandlas som din egen utrustning. Ett skyddsnät; din utrustning känns även igen på andra sätt.
Objects per burst press	Objekt per snabbtryckning
Objects per scan	Objekt per skanning
on the player	på spelaren
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	På skördas en åder där den står och du svingar aldrig en hacka. Av lämnas ådror orörda och bara de bitar du slår loss plockas upp. Kräver triggning, eftersom hela tricket är att be ådern öppna sig.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	På ritas overlayn under DLSS frame generation, vilket kräver att modden ger spelet en inlindad swapchain.\n\nAv ritas overlayn genom present-hooken i stället. Allt ser likadant ut om inte frame generation är på, och modden håller sig borta från en väg som andra overlay-moddar också patchar. Testa det här om spelet inte startar tillsammans med en annan overlay-mod; det kan ställas in som WrapSwapChain i MasterLooter.ini utan att starta spelet.
One backup is written each time the game starts and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	En säkerhetskopia skrivs varje gång spelet startar och de senaste tolv behålls, i MasterLooter.backups bredvid pluginen. Förinställningar ligger i MasterLooter.presets. Kopiera endera mappen för att behålla den vid en ominstallation.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Ett klick per familj. Tabellen nedan ställer fortfarande in enskilda klasser; en grupp visar ett streck när bara en del av den är på.
Open and close this menu	Öppna och stäng den här menyn
Open folder	Öppna mapp
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Öppnar mappen i Utforskaren. Loggen skrivs om vid varje start och är det som ska bifogas en rapport.
Ore and stone	Malm och sten
ore off	malm av
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Malm, ädelstenar, sten, timmer, skinn, örter, handelsvaror och andra tillverkningsmaterial.
out of range	utom räckhåll
Overlay	Overlay
Override	Undantag
owned by someone (theft)	ägs av någon (stöld)
Ownership	Ägarskap
Ownership oracle	Ägarskapsorakel
Pace	Tempo
part of a creature or a mechanism	del av en varelse eller en mekanism
paused: %s	pausad: %s
pick up off	upplockning av
Plants	Växter
plants off	växter av
Player	Spelare
Player equipment.	Spelarens utrustning.
Player not found in the scene yet.	Spelaren har inte hittats i scenen än.
Presets	Förinställningar
press a key (Escape cancels)	tryck på en tangent (Escape avbryter)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Skyddat som standard: ett minneschip startar en minnesscen när det tas, och en pusseldel bryter sitt pussel. Slå på bara om du vill att de ska tas automatiskt.
protected item name	skyddat föremålsnamn
Puts every setting and rule back to what it was at that moment.	Återställer varje inställning och regel till vad den var vid det tillfället.
puzzle or protected mechanism	pussel eller skyddad mekanism
Quest items	Uppdragsföremål
quest or memory trigger	uppdrags- eller minnesutlösare
Ranges (metres)	Avstånd (meter)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Råttor, ekorrar, fåglar, ödlor, grodor och salamandrar: allt annat som spelet lägger helt i väskan.
Reaching nodes	Nå noder
Read from the file beside the plugin, not the copy inside it.	Läses från filen bredvid pluginen, inte kopian inuti den.
Rebind	Bind om
Recent loot	Senaste byte
Refresh	Uppdatera
Reload now	Ladda om nu
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Ersätter varje inställning och varje klass-, tagg- och föremålsregel med det förinställningen innehåller, och skriver det till MasterLooter.ini. Inget av de nuvarande inställningarna behålls, så säkerhetskopiera dem först om du vill ha kvar dem.
Reset all tags	Återställ alla taggar
resolved	uppslagen
Retry the same object after (ms)	Försök samma objekt igen efter (ms)
Route id	Rutt-id
Rule	Regel
Save now	Spara nu
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Sparad som \"%s\": ett förinställningsnamn behåller bokstäver, siffror, mellanslag, bindestreck och understreck.
Say so on screen when the bag stops taking things	Visa det på skärmen när väskan slutar ta emot saker
scan %.1f ms	skanning %.1f ms
Scan radius	Skanningsradie
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Skanningar %ld, händelser skickade %ld, pumptick %ld, skyddade fel %ld, nodtyper inlärda %d
Scans per second	Skanningar per sekund
search item name or key (3+ letters)	sök föremålsnamn eller nyckel (3+ bokstäver)
Sending events	Skickar händelser
Set	Ställ in
Settings: %ls	Inställningar: %ls
Show a brief notice when auto-loot is toggled	Visa ett kort meddelande när autoloot växlas
Showing current overrides. Type to search all %d items.	Visar aktuella undantag. Skriv för att söka bland alla %d föremål.
Showing the nearest %d of %d. The rest are further away.	Visar de %d närmaste av %d. Resten ligger längre bort.
Skip all	Hoppa över alla
Skip items shops refuse to buy	Hoppa över föremål som butiker vägrar köpa
Skip quest items	Hoppa över uppdragsföremål
skip: %s	hoppa över: %s
Small animals	Smådjur
small animals off	smådjur av
Some world objects carry no readable item name. On: take them anyway. Off: leave anything unidentified.	Vissa objekt i världen saknar ett läsbart föremålsnamn. På: ta dem ändå. Av: lämna allt oidentifierat.
someone is wearing this; taking it would copy it	någon bär det här; att ta det skulle kopiera det
stack at one point (storage contents)	stapel på en plats (förrådsinnehåll)
Status	Status
Stop pets looting	Hindra husdjur från att plundra
Stop pets looting at all	Hindra husdjur från att plundra över huvud taget
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Bord, stolar, sängar, mattor, lampor, ljus, tavlor, krukor och resten av ett möblerat rum, oavsett om du plockar upp det från golvet eller tar det från sin egen interaktionsnod. Det mesta är värt en koppar eller två, men mattorna och lyxsängarna går upp i tusental, så slå på det här innan du möblerar ett hus. Kistor och andra saker som rymmer något lyder under Behållare i stället. Av som standard.
Tag	Tagg
Tags	Taggar
tags, any of which can be set to never in the Tags tab:	taggar, som var och en kan sättas till aldrig i fliken Taggar:
Take goods that belong to someone	Ta varor som tillhör någon
Take goods that belong to someone, on / off	Ta varor som tillhör någon, på/av
Take items the database cannot name	Ta föremål som databasen inte kan namnge
Pets and companions follow the filters	Husdjur och följeslagare följer filtren
Take owned goods on / off	Ta ägda varor på/av
take this one by hand, looting it can lock the quest	ta den här för hand, att plundra den kan låsa uppdraget
takes effect next launch	träder i kraft vid nästa start
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Motorn skannar runt dig och tar det reglerna tillåter. Av innebär att inget tas automatiskt; snabbtryckningstangenten fungerar fortfarande.
The game asks two questions before a pet loots, one for a loose item on the ground and one for a body, and this answers both with no. A pet reaches for nothing, so nothing of yours is ever deleted afterwards and your own pick-ups are never in question. The cleaner of the two answers if you simply do not want a pet looting. Whether it reaches a mercenary has not been tested. The game carries one looting rule of this kind and both of its questions are answered no, so it may; Pets and companions follow the filters is the switch that certainly does.	Spelet ställer två frågor innan ett husdjur plundrar, en för ett löst föremål på marken och en för en kropp, och det här svarar nej på båda. Ett husdjur sträcker sig inte efter något, så inget av ditt raderas efteråt och dina egna fynd är aldrig ifrågasatta. Det renaste av de två svaren om du helt enkelt inte vill att ett husdjur plundrar. Om det når en legosoldat är inte prövat. Spelet bär en enda plundringsregel av det här slaget och båda dess frågor besvaras med nej, så det kan vara så; Husdjur och följeslagare följer filtren är den inställning som med säkerhet gör det.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Spelet fyller en nods data bara när det tror att du kan nå den. Triggning ber det göra det på avstånd, vilket också är det som låter en malmåder skördas där den står. Ådror tar flera sekunder att svara där en buske tar en bråkdel av en sekund.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Spelet tar bort tagna objekt med en fördröjning. Detta hindrar samma objekt från att skickas två gånger medan det tonas bort.
The game treats this as stealing and will put a bounty on you.	Spelet räknar det här som stöld och sätter en belöning på ditt huvud.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Modden svingar aldrig en hacka. Den driver ådrans egen brottsekvens, och spelet går igenom en droppningsrad för det där ett riktigt hugg går igenom två, så ditt gruvverktygs bonus ger ingenting när modden gör brytningen. Det här lägger tillbaka den saknade malmen genom samma droppningsväg som spelet använder, så det är riktig malm som spills på marken, inte ett föremål kopierat till din väska. Ställ in det på vad ditt verktyg ger för hand minus ett: en borr som ger tre för hand vill ha 2 här. Det gäller bara en åder som modden bröt, så brytning för hand berörs inte och de två kan inte staplas.
Skinning the animals you kill, once per carcass. People go under Bodies. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	Flåning av djuren du dödar, en gång per kadaver. Människor hör under Kroppar. Vad flåning ger kontrolleras inte mot dina filter. Modden ser det aldrig innan det landar, så denna brytare är allt eller inget.
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out is not checked against your filters, so this switch is all or nothing too.	Genomsökning av människorna du dödar, en gång per kropp. Djur hör under Kadaver. Vad en genomsökning ger kontrolleras inte mot dina filter, så denna brytare är också allt eller inget.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Denna session: %ld upplockade, %ld skördade, %ld fångade, %ld kadaver
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Timmer och grenar på marken, och noderna som ger dem. Vad de flesta av dem innehåller läses ur spelets egna data, så att neka klassen wood på fliken Klasser låter träden stå kvar och likaså timret under dem. Där spelet inte säger något om en nod är den här inställningen den enda kontroll den har.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	För att lämna en art orörd, sätt vad den blir till aldrig på fliken Föremål: Item_Tench, Item_Ricefish, Item_Iguana. Modden läser varelsens egen rad i spelets teckentabell, så den vet vilken art den ser på innan den fångar något. Några ovanliga varelser faller ändå tillbaka på att gissa utifrån sitt modellnamn och fångas bara efter kategori.
Treasure and keepsakes	Skatter och minnessaker
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Två knappar samtidigt, aldrig en: varje enskild knapp gör redan något i det här spelet. Modden bara läser handkontrollen, så spelet ser fortfarande båda knapparna. Välj ett par som inte gör något tillsammans, som de två axelknapparna, eller Back och en ansiktsknapp.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Två saker som innehåller saker. De kistor, lådor och byteshögar du öppnar, som sällan svarar på plundringshändelsen. Och allt på marken vars uppgift är att innehålla något: flaskor, burkar, lerkrukor, vattensäckar, vaser och de förvaringslådor du ställer ut. Av som standard, och av betyder att en hylla med keramik står kvar där den står. Belöningslådor omfattas inte, för de är byte i egen rätt och hör till Skatter och minnessaker på fliken Klasser.\n\nDet som kommer ur en kista prövas inte mot dina filter. Spelet lämnar över innehållet i ett svep och modden ser det aldrig som föremål, så för dem är den här inställningen allt eller inget.
